frame,time_s,x,y,visible
420,6.9898,1345.42,539.77,1
421,7.0065,1356.09,538.64,1
422,7.0231,1371.63,537.97,1
423,7.0398,1387.66,537.08,1
424,7.0564,1401.60,536.64,1
425,7.0731,1408.79,536.47,1
426,7.0897,1425.14,534.56,0
427,7.1063,1438.45,533.70,0
428,7.1230,1451.77,532.85,0
429,7.1396,1465.08,531.99,0
430,7.1563,1478.39,531.14,0
431,7.1729,1491.71,530.28,0
432,7.1895,1505.02,529.43,0
433,7.2062,1518.33,528.57,0
434,7.2228,1531.65,527.72,0
435,7.2395,1544.96,526.86,0
436,7.2561,1558.27,526.01,0
437,7.2728,1375.73,502.34,1
438,7.2894,1332.04,491.81,1
439,7.3060,1292.76,482.94,1
440,7.3227,1258.63,475.66,1
441,7.3393,1226.57,468.74,1
442,7.3560,1200.38,464.66,1
443,7.3726,1168.58,459.62,1
444,7.3893,1150.07,456.77,1
445,7.4059,1129.49,454.39,1
446,7.4225,1110.15,451.89,1
447,7.4392,1093.01,450.92,1
448,7.4558,1076.72,449.87,1
449,7.4725,1060.24,449.14,1
450,7.4891,1045.35,448.64,1
451,7.5058,1023.45,445.81,0
452,7.5224,1006.12,444.56,0
453,7.5390,1007.59,450.15,1
454,7.5557,999.02,450.93,1
455,7.5723,988.48,452.31,1
456,7.5890,979.11,453.47,1
457,7.6056,965.89,453.65,0
458,7.6223,961.99,457.01,1
459,7.6389,954.15,459.00,1
460,7.6555,946.80,460.84,1
461,7.6722,939.55,463.12,1
462,7.6888,932.86,465.36,1
463,7.7055,926.59,468.30,1
464,7.7221,920.40,470.52,1
465,7.7388,914.89,473.24,1
466,7.7554,909.00,476.00,1
467,7.7720,902.01,478.22,0
468,7.7887,895.85,480.76,0
469,7.8053,894.32,484.68,1
470,7.8220,887.94,487.16,0
471,7.8386,885.03,490.71,1
472,7.8552,879.41,493.41,0
473,7.8719,874.52,496.34,0
474,7.8885,869.62,499.26,0
475,7.9052,864.72,502.19,0
476,7.9218,859.83,505.12,0
477,7.9385,854.93,508.04,0
478,7.9551,850.03,510.97,0
479,7.9717,845.14,513.90,0
480,7.9884,840.24,516.82,0
481,8.0050,835.34,519.75,0
482,8.0217,830.45,522.68,0
483,8.0383,825.55,525.60,0
484,8.0550,820.65,528.53,0
485,8.0716,815.76,531.46,0
486,8.0882,810.86,534.38,0
487,8.1049,805.96,537.31,0
488,8.1215,801.07,540.24,0
489,8.1382,796.17,543.16,0
490,8.1548,791.27,546.09,0
491,8.1715,786.38,549.02,0
492,8.1881,,,0
493,8.2047,,,0
494,8.2214,,,0
495,8.2380,,,0
496,8.2547,,,0
497,8.2713,,,0
498,8.2880,,,0
499,8.3046,,,0
500,8.3212,,,0
501,8.3379,,,0
502,8.3545,,,0
503,8.3712,,,0
504,8.3878,,,0
505,8.4045,,,0
506,8.4211,,,0
507,8.4377,,,0
508,8.4544,,,0
509,8.4710,,,0
510,8.4877,,,0
511,8.5043,,,0
512,8.5209,,,0
513,8.5376,,,0
514,8.5542,,,0
515,8.5709,,,0
516,8.5875,,,0
517,8.6042,,,0
518,8.6208,,,0
519,8.6374,,,0
520,8.6541,,,0
521,8.6707,,,0
522,8.6874,,,0
523,8.7040,,,0
524,8.7207,,,0
525,8.7373,,,0
526,8.7539,,,0
527,8.7706,,,0
528,8.7872,,,0
529,8.8039,,,0
530,8.8205,,,0
531,8.8372,,,0
532,8.8538,,,0
533,8.8704,847.21,466.88,1
534,8.8871,850.80,467.01,1
535,8.9037,854.03,466.61,1
536,8.9204,857.49,466.58,1
537,8.9370,859.95,465.66,0
538,8.9537,862.97,465.21,0
539,8.9703,868.20,468.34,1
540,8.9869,872.09,469.23,1
541,9.0036,876.51,471.01,1
542,9.0202,880.92,472.08,1
543,9.0369,885.14,474.23,1
544,9.0535,889.75,476.27,1
545,9.0701,894.36,478.57,1
546,9.0868,898.31,479.50,0
547,9.1034,904.00,484.73,1
548,9.1201,908.89,487.94,1
549,9.1367,913.99,491.83,1
550,9.1534,919.61,495.81,1
551,9.1700,925.13,500.21,1
552,9.1866,930.83,505.32,1
553,9.2033,936.91,511.01,1
554,9.2199,943.87,517.26,1
555,9.2366,949.67,523.12,1
556,9.2532,956.87,530.06,1
557,9.2699,963.61,537.47,1
558,9.2865,969.45,542.28,0
559,9.3031,978.55,554.70,1
560,9.3198,985.14,563.40,1
561,9.3364,994.44,573.79,1
562,9.3531,1000.64,580.38,0
563,9.3697,1012.98,596.58,1
564,9.3864,1022.09,609.52,1
565,9.4030,1029.67,617.78,0
566,9.4196,1042.87,638.00,1
567,9.4363,1050.86,647.31,0
568,9.4529,1060.35,659.78,0
569,9.4696,1076.99,686.96,1
570,9.4862,1087.39,682.85,1
571,9.5029,1097.02,675.11,1
572,9.5195,1106.61,669.29,1
573,9.5361,1118.01,661.20,1
574,9.5528,1127.63,656.31,1
575,9.5694,1139.13,649.80,1
576,9.5861,1150.37,643.67,1
577,9.6027,1162.56,637.38,1
578,9.6194,1175.41,631.52,1
579,9.6360,1188.14,625.89,1
580,9.6526,1202.70,620.60,1
581,9.6693,1213.22,613.43,0
582,9.6859,1225.71,607.02,0
583,9.7026,1238.20,600.60,0
584,9.7192,1250.69,594.19,0
585,9.7358,1263.19,587.78,0
586,9.7525,1275.68,581.37,0
587,9.7691,1288.17,574.96,0
588,9.7858,1300.66,568.55,0
